# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  135 188.12941 35.331154 11.96 0.04  -12.22 0.06   -10.34 0.04   -0.91  0.32  t    GaiaDR2 "Gaia DR2 1518264346362000256" 188.12947 35.3312   9.449951  9.77001   8.960263 
  136 189.36485 31.133934 11.42 0.16  -11.45 0.22   -8.24  0.15   0.0    0.0   t    GaiaDR2 "Gaia DR2 4012301410757822464" 189.36491 31.133968 17.549648 19.985249 16.115328
  137 191.51302 4.868906  10.82 0.04  -10.75 0.09   -6.26  0.05   0.96   0.37  t    GaiaDR2 "Gaia DR2 3705719227761753216" 191.51306 4.868933  10.761749 11.21823  10.142491
  138 191.77798 22.61679  12.0  0.05  -12.59 0.09   -8.92  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 3955895059799912320" 191.77805 22.616829 8.251004  8.53018   7.801879 
  139 191.93521 19.497267 9.79  0.04  -9.05  0.09   -8.89  0.05   -24.87 0.33  t    GaiaDR2 "Gaia DR2 3942162881122775296" 191.93526 19.497305 10.515943 10.901496 9.961985 
  140 192.25168 25.359842 12.29 0.06  -12.71 0.08   -8.69  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 3958058555085345280" 192.25174 25.359879 11.548386 12.225553 10.751073
  141 192.35074 27.166054 11.15 0.05  -11.28 0.07   -7.83  0.06   -0.53  1.54  t    GaiaDR2 "Gaia DR2 3961802632696061056" 192.35078 27.166086 12.395783 13.200377 11.518285
  142 192.86162 21.54541  11.59 0.14  -11.99 0.27   -9.36  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 3954790802231914496" 192.86166 21.54545  17.398724 19.431774 16.064331
  143 192.9246  27.540678 11.49 0.18  -10.99 0.26   -8.31  0.21   0.0    0.0   t    GaiaDR2 "Gaia DR2 3961912034103154944" 192.92467 27.540714 4.736375  5.09422   4.231449 
  144 193.04834 25.373459 11.75 0.04  -11.47 0.06   -8.55  0.04   -0.65  0.27  t    GaiaDR2 "Gaia DR2 3958022924036722048" 193.0484  25.373495 8.74531   9.00163   8.323109 
  145 193.18333 30.07766  12.09 0.14  -11.71 0.16   -9.92  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 1465022797889682176" 193.1834  30.077703 17.023518 18.96253  15.726549
  146 193.98074 22.920162 11.15 0.13  -11.04 0.26   -8.52  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 3956537616971055360" 193.98079 22.920198 17.403994 19.406427 16.056618
  147 194.45251 26.660154 11.82 0.06  -12.34 0.09   -7.74  0.07   0.0    0.0   t    GaiaDR2 "Gaia DR2 3958585461673131520" 194.45258 26.660187 15.312668 16.88588  14.095659
  148 194.48561 24.821651 12.04 0.06  -12.18 0.12   -8.24  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 3957357582063045120" 194.48567 24.821688 14.605183 16.133987 13.402376
  149 194.76282 25.518768 11.17 0.1   -11.43 0.12   -8.24  0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 3958248976756278272" 194.76286 25.518805 16.450966 18.173742 15.189531
  150 195.14651 23.651714 11.61 0.04  -11.97 0.09   -8.88  0.05   -0.59  0.24  t    GaiaDR2 "Gaia DR2 3956998694596150912" 195.14658 23.651752 8.143973  8.353478  7.778481 
  151 195.26198 22.47025  11.58 0.04  -11.54 0.07   -8.33  0.05   0.05   0.99  t    GaiaDR2 "Gaia DR2 3944475772551653632" 195.26202 22.470285 12.605855 13.473685 11.688945
  152 195.66718 33.37839  12.13 0.03  -12.02 0.05   -9.09  0.04   0.0    0.0   t    GaiaDR2 "Gaia DR2 1467522812454038656" 195.66724 33.37843  14.116992 15.421285 12.988659
  153 195.85977 25.652397 11.66 0.16  -12.45 0.29   -8.7   0.19   0.0    0.0   t    GaiaDR2 "Gaia DR2 1459518299083767808" 195.85983 25.652435 17.320042 19.383947 15.995547
  154 197.13614 31.922441 11.26 0.1   -11.02 0.14   -7.59  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 1466385127156674176" 197.13618 31.922474 16.961185 19.094946 15.609042
  155 197.25673 19.027948 11.62 0.06  -11.96 0.12   -7.16  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 3938325448103058816" 197.25679 19.02798  15.424356 16.951382 14.224441
  156 197.48021 33.721825 11.64 0.03  -11.32 0.04   -8.94  0.04   -1.06  0.24  t    GaiaDR2 "Gaia DR2 1467757420747501824" 197.48027 33.721863 9.450583  9.76559   8.966136 
  157 197.64069 31.941233 11.16 0.15  -10.88 0.17   -8.54  0.17   0.0    0.0   t    GaiaDR2 "Gaia DR2 1466198485057978624" 197.64073 31.941269 17.229979 19.238588 15.92024 
  158 197.69493 22.152979 11.18 0.03  -11.69 0.08   -7.72  0.05   -0.39  0.39  t    GaiaDR2 "Gaia DR2 3943853895646618624" 197.69498 22.153011 10.29544  10.693012 9.728038 
  159 197.6968  22.152266 11.21 0.04  -9.64  0.07   -8.1   0.05   -1.11  0.52  t    GaiaDR2 "Gaia DR2 3943853826927170560" 197.69684 22.1523   11.14323  11.679479 10.456055
  160 197.82083 17.169931 9.54  0.04  -9.94  0.09   -7.39  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 3937058501470568960" 197.82088 17.169964 14.572186 15.782099 13.480386
  161 197.92491 25.962748 11.76 0.04  -11.54 0.07   -8.03  0.06   -0.93  0.59  t    GaiaDR2 "Gaia DR2 1459368662422928384" 197.92497 25.962782 11.512229 12.13462  10.757017
  162 198.26944 47.44343  11.8  0.08  -11.23 0.08   -7.61  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 1554365436272271744" 198.26952 47.443466 16.124027 17.83735  14.869018
  163 198.99599 26.279644 12.0  0.09  -11.63 0.18   -7.99  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 1447745999883612288" 198.99603 26.279678 16.21113  17.929333 14.96116 
  164 199.47371 36.94329  11.84 0.08  -10.53 0.12   -9.29  0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 1474685340434293504" 199.47377 36.943333 16.462868 18.273205 15.184279
  165 199.67351 29.250784 11.33 0.04  -12.5  0.05   -7.55  0.05   -0.52  0.37  t    GaiaDR2 "Gaia DR2 1461874994882981504" 199.67357 29.250816 11.66327  12.297831 10.877727
  166 199.69585 20.251183 11.74 0.04  -11.97 0.08   -7.56  0.05   -0.34  0.36  t    GaiaDR2 "Gaia DR2 3940194377351933056" 199.6959  20.251213 9.958134  10.330798 9.414574 
  167 200.29657 37.81351  12.03 0.03  -11.56 0.04   -8.56  0.03   -2.17  0.23  t    GaiaDR2 "Gaia DR2 1474645173901131136" 200.29663 37.813545 8.973002  9.252861  8.526971 
  168 200.3315  31.022764 11.34 0.06  -10.99 0.08   -6.81  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 1463268080412063360" 200.33156 31.022793 15.919876 17.54292  14.690433
  169 200.54567 26.880869 12.04 0.08  -11.88 0.17   -7.88  0.16   0.0    0.0   t    GaiaDR2 "Gaia DR2 1449325173458893952" 200.54572 26.880903 16.548193 18.37106  15.276821
  170 201.27777 23.854387 11.03 0.1   -10.84 0.22   -7.6   0.19   0.0    0.0   t    GaiaDR2 "Gaia DR2 1446271417351852544" 201.27783 23.85442  5.739733  5.768252  5.656096 
  171 201.41399 25.68215  11.53 0.04  -10.31 0.09   -8.67  0.07   -0.35  0.66  t    GaiaDR2 "Gaia DR2 1448260262087566848" 201.41403 25.682186 9.009476  9.28287   8.568003 
  172 201.59149 17.587091 10.09 0.04  -12.29 0.07   -7.17  0.06   -11.32 0.33  t    GaiaDR2 "Gaia DR2 3746340341252375040" 201.59155 17.587124 10.370962 10.75169  9.818369 
  173 201.71529 34.907    11.37 0.03  -11.15 0.04   -7.24  0.03   0.0    0.0   t    GaiaDR2 "Gaia DR2 1473286418047384064" 201.71535 34.907032 13.953957 15.136567 12.868636
  174 201.89497 31.768164 11.64 0.18  -11.2  0.22   -6.53  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 1468575384383435264" 201.89502 31.768192 18.24405  20.312035 16.8071  
  175 203.38243 26.591816 11.67 0.09  -10.89 0.15   -8.14  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 1448560291323299840" 203.38249 26.59185  15.214639 16.746588 14.00318 
  176 205.16698 33.348473 10.92 0.09  -10.15 0.1    -6.49  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 1470457649507049856" 205.16702 33.3485   16.582941 18.377186 15.308625
  177 205.67857 16.16216  11.28 0.07  -10.57 0.15   -6.39  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 3742387837468523008" 205.67862 16.16219  15.817058 17.454473 14.584036
  178 206.36479 41.735977 12.08 0.05  -11.08 0.06   -7.42  0.06   0.0    0.0   t    GaiaDR2 "Gaia DR2 1500586604569943040" 206.36485 41.736008 15.486795 17.060831 14.26907 
  179 206.56201 36.441025 11.91 0.04  -10.12 0.05   -6.74  0.04   0.0    0.0   t    GaiaDR2 "Gaia DR2 1471493286380583168" 206.56207 36.441055 14.432036 15.792637 13.281478
  180 207.56699 33.084614 11.06 0.04  -9.5   0.04   -7.27  0.04   0.0    0.0   t    GaiaDR2 "Gaia DR2 1458297016545431936" 207.56705 33.084644 14.208377 15.582448 13.053622
  181 208.65076 33.435783 12.44 0.08  -8.17  0.09   -6.97  0.09   0.0    0.0   t    GaiaDR2 "Gaia DR2 1458648963344817664" 208.6508  33.435814 16.573267 18.372755 15.297664
  182 209.38193 31.726625 11.47 0.1   -8.84  0.18   -4.65  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 1457498599303456000" 209.38197 31.726645 17.275644 19.242453 15.973869
  183 210.06126 30.947124 10.98 0.03  -8.18  0.06   -8.0   0.04   -1.75  0.32  t    GaiaDR2 "Gaia DR2 1454399316541848576" 210.06131 30.947159 10.300168 10.695883 9.736974 
  184 210.9651  36.377987 11.34 0.11  -9.29  0.08   -7.1   0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 1483407937977056384" 210.96515 36.378017 17.27709  19.264376 15.952556
  185 211.0085  38.128845 11.19 0.04  -9.71  0.04   -6.62  0.05   0.0    0.0   t    GaiaDR2 "Gaia DR2 1483904436196087552" 211.00854 38.128876 14.749226 16.077936 13.6141  
  186 212.32184 26.654638 11.36 0.12  -9.49  0.2    -6.56  0.19   0.0    0.0   t    GaiaDR2 "Gaia DR2 1259987931126020736" 212.32188 26.654667 17.650097 19.751574 16.307365
  187 212.40778 22.754353 10.95 0.08  -9.26  0.16   -5.92  0.13   0.0    0.0   t    GaiaDR2 "Gaia DR2 1253655156466983168" 212.40782 22.75438  15.463689 17.080252 14.22423 
  188 212.78305 27.522966 11.53 0.08  -10.02 0.12   -7.12  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 1260123858250996608" 212.7831  27.522997 16.172527 17.900984 14.915539
  189 214.32504 28.439928 10.47 0.04  -8.2   0.06   -5.33  0.07   0.0    0.0   t    GaiaDR2 "Gaia DR2 1260617607691437952" 214.32507 28.439953 14.439327 15.745384 13.309625
  190 214.82614 26.321587 11.29 0.04  -9.29  0.07   -6.72  0.07   -1.58  0.4   t    GaiaDR2 "Gaia DR2 1259389659361730048" 214.82619 26.321615 11.224125 11.77305  10.530504
  191 214.97417 33.39244  11.39 0.08  -9.44  0.07   -7.47  0.12   0.0    0.0   t    GaiaDR2 "Gaia DR2 1478245490368898816" 214.97423 33.39247  14.617483 16.017637 13.451472
  192 216.27255 31.394058 11.2  0.07  -9.34  0.11   -6.68  0.11   0.0    0.0   t    GaiaDR2 "Gaia DR2 1285545941474827776" 216.2726  31.394089 15.779591 17.36177  14.563218
  193 218.21614 14.695022 10.86 0.04  -8.68  0.06   -6.16  0.07   0.24   1.5   t    GaiaDR2 "Gaia DR2 1228225548460366080" 218.21619 14.695049 12.725996 13.595916 11.809619
  194 218.62405 35.291985 10.81 0.03  -8.39  0.03   -6.4   0.04   -2.06  0.43  t    GaiaDR2 "Gaia DR2 1480156579014364416" 218.6241  35.29201  11.935512 12.614795 11.140633
  195 218.7573  36.81946  10.77 0.05  -6.82  0.06   -6.59  0.08   0.0    0.0   t    GaiaDR2 "Gaia DR2 1486484268431958272" 218.75732 36.819492 15.879285 17.450397 14.654802
  196 219.45642 29.160866 10.6  0.07  -7.52  0.1    -6.18  0.14   0.0    0.0   t    GaiaDR2 "Gaia DR2 1281163666083831808" 219.45645 29.160892 15.873582 17.461063 14.651815
  197 219.8527  36.5105   10.39 0.05  -8.73  0.05   -6.56  0.07   0.31   1.47  t    GaiaDR2 "Gaia DR2 1486239863316877952" 219.85275 36.51053  8.433146  8.655772  8.052083 
