# Seq RA_ICRS   DE_ICRS   Plx   e_Plx pmRA   e_pmRA pmDE   e_pmDE RV     e_RV  Memb GaiaDR2 SimbadName                   _RA_icrs  _DE_icrs  Gmag      BPmag     RPmag    
  31  186.04527 23.993345 12.13 0.08  -12.85 0.09   -9.04  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3954070042295789824" 186.04533 23.993383 15.008049 16.428556 13.834711
  32  186.25934 25.560627 11.48 0.05  -12.65 0.08   -8.18  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008364338792386304" 186.2594  25.560661 8.031269  8.304643  7.58734  
  33  186.26094 26.71058  11.91 0.06  -11.33 0.1    -8.79  0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009049575054518400" 186.261   26.710617 14.237177 15.517051 13.117344
  34  186.34369 23.229046 11.56 0.06  -11.18 0.1    -10.83 0.07   -0.95  0.42  b    GaiaDR2 "Gaia DR2 3953772074643910784" 186.34373 23.229092 8.457365  8.687356  8.066516 
  35  186.35434 23.84795  11.21 0.05  -11.86 0.07   -7.6   0.05   0.07   0.73  b    GaiaDR2 "Gaia DR2 3953876974926061056" 186.35439 23.847982 12.804674 13.702329 11.870338
  36  186.4664  26.776634 11.59 0.05  -13.42 0.09   -8.6   0.06   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009051048227419520" 186.46646 26.77667  8.231913  8.45031   7.85405  
  37  186.47588 26.860712 11.41 0.06  -11.54 0.09   -7.78  0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009058199348854656" 186.47592 26.860746 14.643725 15.984687 13.499988
  38  186.50102 24.155771 11.53 0.07  -11.62 0.1    -6.61  0.08   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960080316450597376" 186.50108 24.155802 13.54505  14.800206 12.430645
  39  186.53526 24.658667 11.98 0.07  -11.85 0.12   -9.27  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960130997064687616" 186.53531 24.658707 14.70397  16.22327  13.507463
  40  186.66774 27.312035 12.23 0.08  -13.51 0.13   -9.15  0.11   0.0    0.0   b    GaiaDR2 "Gaia DR2 4009109979474585600" 186.6678  27.312075 15.321909 16.849604 14.122596
  41  186.736   22.673964 11.44 0.04  -11.01 0.08   -8.27  0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 3952978708285528960" 186.73604 22.674    14.171208 15.437058 13.053274
  42  186.74701 26.825663 11.67 0.21  -11.46 0.37   -9.22  0.42   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008867605880031872" 186.74707 26.825703 4.931158  4.987098  4.828503 
  43  186.77603 26.84566  11.16 0.1   -12.89 0.11   -7.79  0.25   -0.34  0.24  b    GaiaDR2 "Gaia DR2 4008867674599508992" 186.7761  26.845694 9.691937  10.028192 9.186371 
  44  186.83615 23.32981  11.9  0.04  -12.41 0.07   -9.08  0.05   0.89   0.43  b    GaiaDR2 "Gaia DR2 3953787429152384256" 186.83621 23.32985  10.11321  10.510008 9.550366 
  45  186.90979 25.912067 11.85 0.06  -12.2  0.1    -9.3   0.07   0.0    0.0   b    GaiaDR2 "Gaia DR2 4008390933229933184" 186.90985 25.912107 6.647958  6.721553  6.489028 
  46  187.01883 24.352081 11.87 0.08  -12.05 0.1    -9.32  0.09   0.0    0.0   b    GaiaDR2 "Gaia DR2 3959922399093081216" 187.01889 24.352121 15.190502 16.671638 14.003668
  47  187.0879  28.04054  12.02 0.04  -12.66 0.06   -9.05  0.06   -0.11  0.51  b    GaiaDR2 "Gaia DR2 4009295144104998912" 187.08797 28.04058  10.158183 10.557427 9.592029 
  48  187.14418 29.544914 11.72 0.15  -12.1  0.27   -8.75  0.18   0.0    0.0   b    GaiaDR2 "Gaia DR2 4011691010005942144" 187.14424 29.544952 17.83057  20.030642 16.475716
  49  187.23505 26.549236 11.86 0.05  -12.88 0.07   -9.24  0.05   1.3    0.21  b    GaiaDR2 "Gaia DR2 4008820429959330304" 187.2351  26.549276 10.527642 10.979493 9.912295 
  50  187.33391 24.74284  12.19 0.09  -12.3  0.17   -8.4   0.12   0.0    0.0   b    GaiaDR2 "Gaia DR2 3960032041018245120" 187.33397 24.742876 16.729687 18.618761 15.437219
